    Customer ID,Age,,Income,Household Size,,,Store ID,Order ID,Total Bill,,,,Date,,,Distance to Store,City Population,City GDP,Order Frequency,Average Monthly Sales
327855,30,,95145,6,,,52,58359912,477.73,,,,23-02-2024,,,2.5,2325500,0.6,5,187027
299549,39,,74858,6,,,89,69471179,23.39,,,,28-03-2024,,,7.2,1547000,0.6,2,187839
295132,48,,146794,6,,,160,66468319,415.78,,,,01-12-2024,,,11.5,3971000,0.6,1,150528
11447,64,,86021,6,,,475,63881185,87.46,,,,09-02-2024,,,18.9,1343000,0.5,2,141436
993361,38,,81631,1,,,65,55577933,409.64,,,,19-10-2024,,,24,1343000,0.7,9,103490
332929,58,,112637,6,,,114,30460880,403.42,,,,20-11-2024,,,8.6,1584000,0.7,1,191484
163075,39,,105679,4,,,397,20890383,196.13,,,,31-12-2024,,,32.3,950000,1.1,7,153847
874877,49,,129895,4,,,452,57922406,405.93,,,,16-05-2024,,,7.8,3971000,0.8,2,158652
404963,28,,92187,1,,,263,4513018,450.66,,,,02-05-2024,,,4.6,1343000,0.5,4,183895
656851,31,,80783,5,,,256,82305415,406.92,,,,13-08-2024,,,3.4,1343000,0.8,1,197587
975476,52,,22532,2,,,447,36187252,15.31,,,,27-07-2024,,,15.5,2716000,1.5,6,167792
329681,24,,90953,4,,,218,17934766,253.12,,,,16-12-2024,,,5.7,3971000,0.4,5,56241
352220,39,,22725,1,,,269,25531988,450.46,,,,29-08-2024,,,46.7,2325500,0.4,2,86934
53508,69,,144502,4,,,332,46637474,43.37,,,,04-02-2024,,,24.2,1584000,0.8,3,194683
214034,23,,149398,4,,,422,32693945,37.41,,,,14-02-2024,,,1.5,2325500,0.6,2,150844
860879,54,,97377,3,,,264,40985135,57.45,,,,08-12-2024,,,5.5,1343000,0.8,3,122207
593165,28,,54077,6,,,92,82588307,159.6,,,,19-08-2024,,,21.3,1343000,0.8,8,121948
687954,58,,137116,2,,,318,43976366,148,,,,07-06-2024,,,1.1,8419000,0.6,2,199077
665429,61,,103104,6,,,4,80264642,50.16,,,,12-04-2024,,,22.5,1343000,1.1,10,78299
581289,18,,98752,6,,,146,45859075,90.87,,,,05-08-2024,,,17.7,3971000,1.1,1,78693
909308,46,,85779,3,,,65,23377820,81.44,,,,12-08-2024,,,31.1,1343000,0.7,1,134436
398620,54,,90487,5,,,5,5026588,331.59,,,,09-02-2024,,,9.3,1424000,0.5,1,97124
14192,48,,94675,2,,,313,71799005,120.57,,,,29-07-2024,,,25.6,950000,0.8,1,93442
582626,56,,93790,1,,,177,53141680,34.83,,,,04-04-2024,,,36.5,950000,1.1,7,50978
821847,49,,103801,3,,,417,98142494,287.65,,,,25-04-2024,,,16.4,1343000,0.7,3,153062
340616,67,,104689,6,,,243,6813026,69.75,,,,28-09-2024,,,33.1,1584000,0.8,3,159343
551067,67,,112146,5,,,282,66936166,408.54,,,,16-03-2024,,,18.7,1547000,0.4,5,69621
126146,38,,102917,6,,,157,55082431,15.99,,,,25-12-2024,,,5.5,1343000,0.9,6,191667
295235,32,,94365,6,,,227,91016532,352.66,,,,02-03-2024,,,9.1,1343000,0.7,1,91759
958345,51,,44081,4,,,431,55536583,361.16,,,,04-06-2024,,,19.1,1343000,0.8,2,114240
481449,38,,141229,4,,,410,87627743,186.19,,,,14-01-2025,,,9,1584000,0.7,2,140638
143448,20,,80783,1,,,115,67406315,156.89,,,,02-03-2024,,,3.2,8419000,0.4,1,107336
369808,19,,128984,5,,,191,45448404,313.66,,,,05-01-2025,,,13.6,1680000,1.1,8,98469
475981,24,,139085,2,,,424,29803649,107.7,,,,11-09-2024,,,25.6,1424000,1.5,3,77996
914960,53,,36528,2,,,378,27828925,83.5,,,,25-05-2024,,,21.5,1680000,0.8,2,159067
463232,19,,94104,5,,,204,63925394,219.6,,,,02-09-2024,,,2.1,2325500,0.5,9,171698
145370,68,,92815,3,,,477,18620061,320,,,,23-03-2024,,,32.1,950000,0.8,1,72838
64020,26,,62241,3,,,43,9221518,278.5,,,,16-08-2024,,,32.9,2325500,0.5,3,94907
956174,51,,24614,4,,,418,39200063,55.54,,,,02-01-2025,,,2.9,8419000,0.6,9,118311
820583,25,,81966,3,,,204,29224160,234.15,,,,04-09-2024,,,1.2,950000,0.4,2,187953
